antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'decade_1710'}),frozenset({'cluster_82'}),0.0012413991476735121,0.014234457909756337,0.00010218834447312447,0.08231707317073171,5.782944014630256,1.0,8.451770055635847e-05,1.074189693706312,0.8281057062215879,0.006646971935007386,0.06906572846582888,0.04474800747076867
frozenset({'cluster_82'}),frozenset({'decade_1710'}),0.014234457909756337,0.0012413991476735121,0.00010218834447312447,0.0071789417708056375,5.782944014630256,1.0,8.451770055635847e-05,1.0059804761129085,0.8390207013626618,0.006646971935007386,0.005944922645036659,0.04474800747076867
frozenset({'decade_1630'}),frozenset({'cluster_24'}),0.0064075876738148045,0.015464502796932835,0.0005639282713516869,0.08800945067926758,5.691062417908644,1.0,0.0004648381138483855,1.0795457232932595,0.829601629502847,0.02646536412078153,0.07368444112825305,0.06223771603958484
frozenset({'cluster_24'}),frozenset({'decade_1630'}),0.015464502796932835,0.0064075876738148045,0.0005639282713516869,0.036465981399902106,5.691062417908644,1.0,0.0004648381138483855,1.0311959859702293,0.8372332807391436,0.02646536412078153,0.030252237590779295,0.06223771603958484
frozenset({'cluster_93'}),frozenset({'decade_1520'}),0.00839836801429123,0.006013973309918325,0.0002800717589263411,0.03334835511491663,5.545145180461322,1.0,0.0002295641978415219,1.0282773861190169,0.8266041968594268,0.01981788966256026,0.027499764655666517,0.03995926251655208
frozenset({'decade_1520'}),frozenset({'cluster_93'}),0.006013973309918325,0.00839836801429123,0.0002800717589263411,0.046570169918187534,5.545145180461322,1.0,0.0002295641978415219,1.040036299158608,0.8246213212287027,0.01981788966256026,0.03849509790283045,0.03995926251655208
frozenset({'cluster_24'}),frozenset({'decade_1590'}),0.015464502796932835,0.0027098835052873005,0.0002308699634392812,0.014929025942241802,5.509102481015705,1.0,0.0001889629623924036,1.0124043269558747,0.831338465490282,0.01286648386416368,0.012252344864203098,0.050062278334249394
frozenset({'decade_1590'}),frozenset({'cluster_24'}),0.0027098835052873005,0.015464502796932835,0.0002308699634392812,0.08519553072625699,5.509102481015705,1.0,0.0001889629623924036,1.0762250625914445,0.8207062477890796,0.01286648386416368,0.07082632178059665,0.050062278334249394
frozenset({'decade_1610'}),frozenset({'cluster_94'}),0.0037431212105155593,0.008368089986299192,0.00017031390745520745,0.0455005055611729,5.437382441592937,1.0,0.00013899113233598807,1.0389024989444386,0.8191541712096058,0.014263074484944533,0.03744576510689403,0.03292664355399215
frozenset({'cluster_94'}),frozenset({'decade_1610'}),0.008368089986299192,0.0037431212105155593,0.00017031390745520745,0.0203527815468114,5.437382441592936,1.0,0.00013899113233598807,1.0169547363820637,0.8229747042381819,0.014263074484944533,0.016672065899788452,0.03292664355399215
frozenset({'cluster_82'}),frozenset({'decade_1620'}),0.014234457909756337,0.008602744703237478,0.0006623318623258067,0.04653017814411061,5.4087596167534615,1.0,0.0005398764549391936,1.039778326037681,0.8268849862247621,0.02986857825567503,0.03825654472839954,0.061760469626388786
frozenset({'decade_1620'}),frozenset({'cluster_82'}),0.008602744703237478,0.014234457909756337,0.0006623318623258067,0.07699076110866697,5.4087596167534615,1.0,0.0005398764549391936,1.0679909805391439,0.822187798420061,0.02986857825567503,0.06366250443877404,0.061760469626388786
frozenset({'decade_1420'}),frozenset({'cluster_25'}),0.001812896926023208,0.015063318926038348,0.0001476053864611798,0.08141962421711901,5.405158359647928,1.0,0.00012029714188445766,1.0722378868964264,0.8164717235503126,0.008823529411764706,0.06737113823268988,0.04560930959599669
frozenset({'cluster_25'}),frozenset({'decade_1420'}),0.015063318926038348,0.001812896926023208,0.0001476053864611798,0.009798994974874372,5.405158359647927,1.0,0.00012029714188445766,1.0080651281995503,0.8274557747040627,0.008823529411764706,0.008000602316196532,0.04560930959599669
frozenset({'cluster_32'}),frozenset({'decade_1750'}),0.01503304089804631,0.003803677266499633,0.0003065650334193734,0.02039274924471299,5.361324795959779,1.0,0.0002493841975091154,1.0169344111789935,0.8258946449812016,0.016544117647058824,0.016652412380617893,0.05049488208504306
frozenset({'decade_1750'}),frozenset({'cluster_32'}),0.003803677266499633,0.01503304089804631,0.0003065650334193734,0.08059701492537313,5.361324795959778,1.0,0.0002493841975091154,1.071311465256995,0.8165849626643735,0.016544117647058824,0.06656464302833565,0.05049488208504306
frozenset({'decade_1780'}),frozenset({'cluster_82'}),0.0021875875224246647,0.014234457909756337,0.00016652915395620283,0.07612456747404843,5.3479077290236985,1.0,0.00013539003144434077,1.0669896691538592,0.814793416642529,0.010244470314318976,0.06278380296501199,0.04391179184656955
frozenset({'cluster_82'}),frozenset({'decade_1780'}),0.014234457909756337,0.0021875875224246647,0.00016652915395620283,0.011699016219090667,5.3479077290236985,1.0,0.00013539003144434077,1.009624020265849,0.8247508662222031,0.010244470314318976,0.009532281396509246,0.04391179184656955
frozenset({'decade_1720'}),frozenset({'cluster_71'}),0.0030240180457046834,0.016418260678681997,0.00026493274493032267,0.08760951188986232,5.336101893157133,1.0,0.0002152836283589047,1.0780271738240508,0.8150620440113606,0.013814880599960527,0.07237959832428677,0.05187299015424421
frozenset({'cluster_71'}),frozenset({'decade_1720'}),0.016418260678681997,0.0030240180457046834,0.00026493274493032267,0.016136468418626097,5.336101893157133,1.0,0.0002152836283589047,1.0133275093059355,0.8261614151586448,0.013814880599960527,0.013152222932410154,0.05187299015424421
frozenset({'decade_1710'}),frozenset({'cluster_24'}),0.0012413991476735121,0.015464502796932835,0.00010218834447312447,0.08231707317073171,5.322969270441604,1.0,8.29907238818174e-05,1.0728493125667975,0.8131443657079339,0.006154547526783679,0.06790265111183703,0.044462501343075105
frozenset({'cluster_24'}),frozenset({'decade_1710'}),0.015464502796932835,0.0012413991476735121,0.00010218834447312447,0.006607929515418502,5.322969270441603,1.0,8.29907238818174e-05,1.0054022279089938,0.8248914653586128,0.006154547526783679,0.005373200654457713,0.044462501343075105
frozenset({'decade_1740'}),frozenset({'cluster_24'}),0.002058905903458508,0.015464502796932835,0.00016652915395620283,0.08088235294117646,5.230194206904494,1.0,0.0001346891978535472,1.071174620956937,0.8104711948018455,0.009594417793283908,0.0664453951432802,0.045825415335003304
frozenset({'cluster_24'}),frozenset({'decade_1740'}),0.015464502796932835,0.002058905903458508,0.00016652915395620283,0.010768477728830151,5.2301942069044935,1.0,0.0001346891978535472,1.008804381612684,0.8215067035896461,0.009594417793283908,0.008727541011082036,0.045825415335003304
frozenset({'cluster_93'}),frozenset({'decade_1530'}),0.00839836801429123,0.0028650583987464896,0.00012489686546715212,0.01487156376746282,5.190666889711349,1.0,0.00010083505065204315,1.012187756364676,0.8141843474535585,0.011213047910295617,0.012041003547058166,0.029232347273427578
frozenset({'decade_1530'}),frozenset({'cluster_93'}),0.0028650583987464896,0.00839836801429123,0.00012489686546715212,0.043593130779392336,5.190666889711349,1.0,0.00010083505065204315,1.0367989439408585,0.8096662688158205,0.011213047910295617,0.03549284473707718,0.029232347273427578
frozenset({'cluster_82'}),frozenset({'decade_1630'}),0.014234457909756337,0.0064075876738148045,0.0004693094338765716,0.03296995479925552,5.145455119403246,1.0,0.0003781008968305813,1.027467985361227,0.8172873746604449,0.02326454033771107,0.026733665430529262,0.05310635956147064
frozenset({'decade_1630'}),frozenset({'cluster_82'}),0.0064075876738148045,0.014234457909756337,0.0004693094338765716,0.07324276432368576,5.145455119403246,1.0,0.0003781008968305813,1.0636718054549283,0.8108493200340368,0.02326454033771107,0.05986038656697883,0.05310635956147064
frozenset({'decade_1600'}),frozenset({'cluster_94'}),0.003288950790635006,0.008368089986299192,0.00014003587946317055,0.04257767548906789,5.088099621153569,1.0,0.00011251364328662694,1.0357309252426754,0.8061142376784356,0.012159053565560301,0.0344982701316016,0.0296560923804453
frozenset({'cluster_94'}),frozenset({'decade_1600'}),0.008368089986299192,0.003288950790635006,0.00014003587946317055,0.016734509271822705,5.088099621153569,1.0,0.00011251364328662694,1.0136743927331675,0.8102431552530214,0.012159053565560301,0.013489926184578074,0.0296560923804453
frozenset({'decade_1530'}),frozenset({'cluster_24'}),0.0028650583987464896,0.015464502796932835,0.000223300456441272,0.07793923381770146,5.039879706521156,1.0,0.000178993752820481,1.0677555463935844,0.8038857454153797,0.012332775919732444,0.06345604724080638,0.04618939174977094
frozenset({'cluster_24'}),frozenset({'decade_1530'}),0.015464502796932835,0.0028650583987464896,0.000223300456441272,0.014439549681840433,5.039879706521156,1.0,0.000178993752820481,1.0117440703706784,0.8141733518862783,0.012332775919732444,0.011607748159448707,0.04618939174977094
frozenset({'decade_1770'}),frozenset({'cluster_71'}),0.0033873543816091258,0.016418260678681997,0.0002800717589263411,0.08268156424581005,5.035951484992956,1.0,0.00022445729167800682,1.0722358790409008,0.8041517400631492,0.014343865090133747,0.06736939180352255,0.04987005828703596
frozenset({'cluster_71'}),frozenset({'decade_1770'}),0.016418260678681997,0.0033873543816091258,0.0002800717589263411,0.01705855232826187,5.035951484992955,1.0,0.00022445729167800682,1.0139084560723686,0.8148054819480092,0.014343865090133747,0.013717664537730068,0.04987005828703596
frozenset({'cluster_24'}),frozenset({'decade_1620'}),0.015464502796932835,0.008602744703237478,0.000669901369323816,0.043318649045521296,5.035445144526857,1.0,0.0005368641997993009,1.0362878447537915,0.8139958670265708,0.02863151083791653,0.0350171479261278,0.06059465228342937
frozenset({'decade_1620'}),frozenset({'cluster_24'}),0.008602744703237478,0.015464502796932835,0.000669901369323816,0.07787065552133744,5.035445144526856,1.0,0.0005368641997993009,1.0676761379497002,0.8083619572099332,0.02863151083791653,0.06338639175701849,0.06059465228342937
